ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"Centre for Linguistics, Leiden University","","","",411,1,"Sign Language : African Sign Languages |411|"
"Centre for Research on Language Diversity","","","",10,1,"DoBeS archive : Vurës and Vera'a |10|"
"Centre for Research on Language Diversity, La Trobe University","","","",2,1,"DoBeS archive : Tangsa, Tai, Singpho in North East India |2|"
"Centre for Sign Language, University College Capital","","","",1,1,"COST elicitationdata |1|"
"Centre for Sign Lingusitics, The Chinese University of Hong Kong","","","",1,1,"Sign Language : Sign Language Typology |1|"
"Charles University","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Charles University in Prague, Faculty of Arts, Institute of the Czech National Corpus","","","",7,1,"LINDAT / CLARIN Data & Tools |7|"
"Charles University in Prague, Faculty of Mathematics and Physics, Institute of Formal and Applied Linguistics in Prague","","","",2,1,"LINDAT / CLARIN Data & Tools |2|"
"Charles University in Prague, UTKL","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Charles University in Prague, ÚFAL","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Charles University in Prague, ÚTKL","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Charles University in Prague, ÚČJTK","","","",5,1,"LINDAT / CLARIN Data & Tools |5|"
"Charles University, Faculty of Arts, Institute of Theoretical and Computational Linguistics","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Charles University, Faculty of Arts, Institute of the Czech National Corpus","","","",5,1,"LINDAT / CLARIN Data & Tools |5|"
"Charles University, Faculty of Mathematics and Physics","","","",2,1,"LINDAT / CLARIN Data & Tools |2|"
"Charles University, Faculty of Mathematics and Physics, Institute of Formal and Applied Linguistics (UFAL)","","","",84,2,"LINDAT / CLARIN Data & Tools |81| # LRT + Open Submissions Data & Tools |3|"
"Charles University, UFAL","","","",2,1,"LINDAT / CLARIN Data & Tools |2|"
"Cheikh Anta Diop University of Dakar, Senegal and Leiden University Centre for Linguistics, The Netherlands","","","",1,1,"Donated Corpora : Noon |1|"
"Chicobava Institute of Linguistics","","","",55,1,"DoBeS archive : ECLING project |55|"
"Chikobava Institute of Linguistics","","","",210,2,"DoBeS archive : ECLING project |197| # Donated Corpora : SSGG |13|"
"Chinese University of Hong Kong","","","",1,0,""
"Christian-Albrechts-Universität zu Kiel","","","",66,2,"DoBeS archive : Paumotu |64| # DoBeS archive : Teop |2|"
"Christian-Albrechts-Universität zu Kiel, Association culturelle Te Reo o te Tuamotu","","","",31,2,"DoBeS archive : Marquesan team |30| # DoBeS archive : Paumotu |1|"
"Christian-Albrechts-Universität zu Kiel, Association culturelle Te Reo o te Tuamotu, Te U'i hou o te Fenua 'Enata, Atuona, B.P. 26, Hiva 'Oa, Marquises-Sud","","","",1,1,"DoBeS archive : Marquesan team |1|"
"Civil Service University Addis Ababa","","","",17,1,"DoBeS archive : Oyda |17|"
"Comp-Aid Oy","","","",1,0,""
"Comparative Linguistics, University of Frankfurt","","","",19,1,"DoBeS archive : ECLING project |19|"
"Comunidad Cashinahua de San Martin","","","",6,1,"DoBeS archive : Cashinahua project |6|"
"Culture For All Service","","","",1,0,""
